ACTOR_ID,INCIDENT_ID,ACTOR_TYPE,ACTOR_PATTERN
2091,2091,Internal,Privilege Misuse
2092,2092,External,Lost and Stolen Assets
2093,2093,Internal,Privilege Misuse
2094,2094,External,Web Applications
2095,2095,External,Cyber-Espionage
2096,2096,External,Everything Else
2097,2097,External,Cyber-Espionage
2098,2098,External,Lost and Stolen Assets
2099,2099,Internal,Lost and Stolen Assets
2100,2100,Internal,Privilege Misuse
2101,2101,External,Privilege Misuse
2102,2102,Internal,Privilege Misuse
2103,2103,External,Web Applications
2104,2104,External,Everything Else
2105,2105,Internal,Lost and Stolen Assets
2106,2106,External,Lost and Stolen Assets
2107,2107,External,Lost and Stolen Assets
2108,2108,External,Web Applications
2109,2109,Internal,Miscellaneous Errors
2110,2110,Internal,Miscellaneous Errors
2111,2111,Internal,Miscellaneous Errors
2112,2112,External,Everything Else
2113,2113,External,Crimeware
2114,2114,External,Everything Else
2115,2115,External,Cyber-Espionage
2116,2116,Internal,Lost and Stolen Assets
2117,2117,Internal,Privilege Misuse
2118,2118,External,Crimeware
2119,2119,Internal,Privilege Misuse
2120,2120,Internal,Lost and Stolen Assets
2121,2121,Internal,Privilege Misuse
2122,2122,Internal,Privilege Misuse
2123,2123,Internal,Privilege Misuse
2124,2124,Internal,Miscellaneous Errors
2125,2125,External,Lost and Stolen Assets
2126,2126,Internal,Privilege Misuse
2127,2127,Internal,Privilege Misuse
2128,2128,Internal,Miscellaneous Errors
2129,2129,Internal,Miscellaneous Errors
2130,2130,External,Payment Card Skimmers
2131,2131,External,Lost and Stolen Assets
2132,2132,External,Web Applications
2133,2133,External,Cyber-Espionage
2134,2134,External,Denial of Service
2135,2135,Partner,Privilege Misuse
2136,2136,External,Lost and Stolen Assets
2137,2137,External,Everything Else
2138,2138,Internal,Privilege Misuse
2139,2139,External,Everything Else
2140,2140,External,Everything Else
2141,2141,Internal,Privilege Misuse
2142,2142,Internal,Miscellaneous Errors
2143,2143,External,Lost and Stolen Assets
2144,2144,External,Cyber-Espionage
2145,2145,Internal,Miscellaneous Errors
2146,2146,Internal,Lost and Stolen Assets
2147,2147,Internal,Miscellaneous Errors
2148,2148,External,Payment Card Skimmers
2149,2149,External,Point of Sale
2150,2150,External,Everything Else
2151,2151,Internal,Privilege Misuse
2152,2152,External,Lost and Stolen Assets
2153,2153,External,Web Applications
2154,2154,External,Web Applications
2155,2155,External,Everything Else
2156,2156,External,Lost and Stolen Assets
2157,2157,Internal,Privilege Misuse
2158,2158,Internal,Lost and Stolen Assets
2159,2159,Internal,Miscellaneous Errors
2160,2160,Internal,Miscellaneous Errors
2161,2161,External,Cyber-Espionage
2162,2162,Internal,Miscellaneous Errors
2163,2163,External,Lost and Stolen Assets
2164,2164,Internal,Lost and Stolen Assets
2165,2165,External,Everything Else
2166,2166,External,Crimeware
2167,2167,Internal,Miscellaneous Errors
2168,2168,Internal,Lost and Stolen Assets
2169,2169,External,Cyber-Espionage
2170,2170,Partner,Privilege Misuse
2171,2171,Unknown,Everything Else
2172,2172,Internal,Miscellaneous Errors
2173,2173,Internal,Miscellaneous Errors
2174,2174,External,Lost and Stolen Assets
2175,2175,External,Payment Card Skimmers
2176,2176,Internal,Miscellaneous Errors
2177,2177,External,Everything Else
2178,2178,Unknown,Everything Else
2179,2179,Internal,Miscellaneous Errors
2180,2180,External,Lost and Stolen Assets
2181,2181,Internal,Miscellaneous Errors
2182,2182,Internal,Miscellaneous Errors
2183,2183,Internal,Privilege Misuse
2184,2184,Internal,Miscellaneous Errors
2185,2185,Partner,Privilege Misuse
2186,2186,External,Cyber-Espionage
2187,2187,External,Web Applications
2188,2188,Internal,Privilege Misuse
2189,2189,Internal,Miscellaneous Errors
2190,2190,Internal,Privilege Misuse
2191,2191,External,Payment Card Skimmers
2192,2192,Internal,Miscellaneous Errors
2193,2193,Internal Unknown,Miscellaneous Errors
2194,2194,External,Lost and Stolen Assets
2195,2195,External,Everything Else
2196,2196,External Internal,Lost and Stolen Assets
2197,2197,External,Lost and Stolen Assets
2198,2198,Partner,Miscellaneous Errors
2199,2199,Internal,Miscellaneous Errors
2200,2200,Internal,Miscellaneous Errors
2201,2201,Internal,Miscellaneous Errors
2202,2202,External,Everything Else
2203,2203,Internal,Miscellaneous Errors
2204,2204,Internal,Miscellaneous Errors
2205,2205,External,Lost and Stolen Assets
2206,2206,External,Lost and Stolen Assets
2207,2207,External,Lost and Stolen Assets
2208,2208,External,Lost and Stolen Assets
2209,2209,Internal,Miscellaneous Errors
2210,2210,External,Everything Else
2211,2211,External,Privilege Misuse
2212,2212,External,Privilege Misuse
2213,2213,External,Everything Else
2214,2214,External,Everything Else
2215,2215,External,Lost and Stolen Assets
2216,2216,Internal,Privilege Misuse
2217,2217,External,Payment Card Skimmers
2218,2218,External,Lost and Stolen Assets
2219,2219,External,Web Applications
2220,2220,External,Point of Sale
2221,2221,External,Everything Else
2222,2222,Internal,Privilege Misuse
2223,2223,External Internal,Lost and Stolen Assets
2224,2224,Internal,Lost and Stolen Assets
2225,2225,Internal,Privilege Misuse
2226,2226,Internal,Privilege Misuse
2227,2227,External,Web Applications
2228,2228,External,Lost and Stolen Assets
2229,2229,Internal,Everything Else
2230,2230,External,Lost and Stolen Assets
2231,2231,External,Web Applications
2232,2232,Internal,Miscellaneous Errors
2233,2233,External,Everything Else
2234,2234,External,Lost and Stolen Assets
2235,2235,Internal,Miscellaneous Errors
2236,2236,Internal,Miscellaneous Errors
2237,2237,Internal,Privilege Misuse
2238,2238,Internal,Privilege Misuse
2239,2239,Internal,Everything Else
2240,2240,External,Everything Else
2241,2241,External,Everything Else
2242,2242,External,Everything Else
2243,2243,Internal,Privilege Misuse
2244,2244,External,Everything Else
2245,2245,External,Crimeware
2246,2246,Internal,Miscellaneous Errors
2247,2247,External,Everything Else
2248,2248,External,Cyber-Espionage
2249,2249,Internal,Miscellaneous Errors
2250,2250,External,Everything Else
2251,2251,External,Web Applications
2252,2252,External,Lost and Stolen Assets
2253,2253,Internal,Privilege Misuse
2254,2254,Internal,Lost and Stolen Assets
2255,2255,External,Everything Else
2256,2256,External,Web Applications
2257,2257,Internal,Miscellaneous Errors
2258,2258,External,Web Applications
2259,2259,Internal,Privilege Misuse
2260,2260,External,Crimeware
2261,2261,External,Web Applications
2262,2262,Internal,Miscellaneous Errors
2263,2263,External,Denial of Service
2264,2264,External,Web Applications
2265,2265,External,Point of Sale
2266,2266,Internal,Everything Else
2267,2267,External,Web Applications
2268,2268,Internal,Miscellaneous Errors
2269,2269,External,Denial of Service
2270,2270,External,Everything Else
2271,2271,External,Lost and Stolen Assets
2272,2272,External Internal,Privilege Misuse
2273,2273,Internal,Miscellaneous Errors
2274,2274,Internal,Miscellaneous Errors
2275,2275,Internal,Miscellaneous Errors
2276,2276,Internal,Miscellaneous Errors
2277,2277,Internal,Privilege Misuse
2278,2278,Internal,Privilege Misuse
2279,2279,External,Lost and Stolen Assets
2280,2280,Internal,Privilege Misuse
2281,2281,Internal,Miscellaneous Errors
2282,2282,External,Web Applications
2283,2283,External,Cyber-Espionage
2284,2284,External,Everything Else
2285,2285,Internal,Privilege Misuse
2286,2286,External,Cyber-Espionage
2287,2287,Internal,Privilege Misuse
2288,2288,Internal,Privilege Misuse
2289,2289,Internal Partner,Privilege Misuse
2290,2290,External,Everything Else
2291,2291,External,Web Applications
2292,2292,External,Everything Else
2293,2293,External,Denial of Service
2294,2294,Internal,Miscellaneous Errors
2295,2295,Internal,Miscellaneous Errors
2296,2296,Internal,Miscellaneous Errors
2297,2297,External Internal,Privilege Misuse
2298,2298,External,Lost and Stolen Assets
2299,2299,Internal,Privilege Misuse
2300,2300,Internal,Miscellaneous Errors
2301,2301,Internal,Privilege Misuse
2302,2302,Unknown,Everything Else
2303,2303,Internal,Privilege Misuse
2304,2304,Internal,Lost and Stolen Assets
2305,2305,External,Lost and Stolen Assets
2306,2306,Partner,Privilege Misuse
2307,2307,External,Web Applications
2308,2308,Internal,Miscellaneous Errors
2309,2309,External,Web Applications
2310,2310,External,Lost and Stolen Assets
2311,2311,External,Cyber-Espionage
2312,2312,Internal,Privilege Misuse
2313,2313,Internal,Miscellaneous Errors
2314,2314,External,Cyber-Espionage
2315,2315,External,Web Applications
2316,2316,Internal,Miscellaneous Errors
2317,2317,External,Payment Card Skimmers
2318,2318,External Internal Partner,Miscellaneous Errors
2319,2319,External,Crimeware
2320,2320,Internal,Privilege Misuse
2321,2321,External,Lost and Stolen Assets
2322,2322,External Partner,Everything Else
2323,2323,Internal,Miscellaneous Errors
2324,2324,External,Crimeware
2325,2325,External,Everything Else
2326,2326,Internal,Privilege Misuse
2327,2327,External,Lost and Stolen Assets
2328,2328,External,Web Applications
2329,2329,External,Web Applications
2330,2330,External,Lost and Stolen Assets
2331,2331,Internal,Miscellaneous Errors
2332,2332,External,Crimeware
2333,2333,Internal,Privilege Misuse
2334,2334,Internal,Privilege Misuse
2335,2335,Internal,Privilege Misuse
2336,2336,Internal,Miscellaneous Errors
2337,2337,Internal,Miscellaneous Errors
2338,2338,External,Lost and Stolen Assets
2339,2339,External,Web Applications
2340,2340,Internal,Miscellaneous Errors
2341,2341,External,Web Applications
2342,2342,External,Everything Else
2343,2343,Internal,Privilege Misuse
2344,2344,Internal,Miscellaneous Errors
2345,2345,Internal,Miscellaneous Errors
2346,2346,External,Point of Sale
2347,2347,Partner,Miscellaneous Errors
2348,2348,External,Web Applications
2349,2349,External,Privilege Misuse
2350,2350,Internal,Miscellaneous Errors
2351,2351,Unknown,Everything Else
2352,2352,External,Lost and Stolen Assets
2353,2353,Internal,Miscellaneous Errors
2354,2354,External,Everything Else
2355,2355,Internal,Miscellaneous Errors
2356,2356,External,Web Applications
2357,2357,Internal,Miscellaneous Errors
2358,2358,External,Crimeware
2359,2359,External,Lost and Stolen Assets
2360,2360,External,Lost and Stolen Assets
2361,2361,External,Lost and Stolen Assets
2362,2362,External,Everything Else
2363,2363,Internal,Miscellaneous Errors
2364,2364,Internal,Privilege Misuse
2365,2365,External,Privilege Misuse
2366,2366,Internal,Miscellaneous Errors
2367,2367,External,Lost and Stolen Assets
2368,2368,External,Crimeware
2369,2369,External,Everything Else
2370,2370,Internal,Miscellaneous Errors
2371,2371,External,Everything Else
2372,2372,Internal,Miscellaneous Errors
2373,2373,Internal,Miscellaneous Errors
2374,2374,External,Everything Else
2375,2375,External,Web Applications
2376,2376,External,Web Applications
2377,2377,Internal,Miscellaneous Errors
2378,2378,External,Crimeware
2379,2379,Internal,Miscellaneous Errors
2380,2380,External,Cyber-Espionage
2381,2381,External,Web Applications
2382,2382,Unknown,Everything Else
2383,2383,External,Denial of Service
2384,2384,External,Web Applications
2385,2385,Internal,Point of Sale
2386,2386,Internal,Privilege Misuse
2387,2387,External,Cyber-Espionage
2388,2388,External,Everything Else
2389,2389,Internal,Privilege Misuse
2390,2390,Internal,Miscellaneous Errors
2391,2391,Internal,Miscellaneous Errors
2392,2392,Internal,Everything Else
2393,2393,External,Denial of Service
2394,2394,Partner,Privilege Misuse
2395,2395,External,Everything Else
2396,2396,Internal,Miscellaneous Errors
2397,2397,Internal,Everything Else
2398,2398,Internal,Lost and Stolen Assets
2399,2399,Internal,Miscellaneous Errors
2400,2400,External,Web Applications
2401,2401,Internal,Miscellaneous Errors
2402,2402,Partner,Lost and Stolen Assets
2403,2403,External,Web Applications
2404,2404,Internal,Privilege Misuse
2405,2405,Internal,Privilege Misuse
2406,2406,External,Everything Else
2407,2407,External,Web Applications
2408,2408,External,Everything Else
2409,2409,Unknown,Everything Else
2410,2410,External,Everything Else
2411,2411,Internal,Privilege Misuse
2412,2412,External,Payment Card Skimmers
2413,2413,External,Web Applications
2414,2414,Internal,Miscellaneous Errors
2415,2415,External,Web Applications
2416,2416,Partner,Lost and Stolen Assets
2417,2417,External,Web Applications
2418,2418,External,Web Applications
2419,2419,External,Denial of Service
2420,2420,External,Web Applications
2421,2421,Internal,Privilege Misuse
2422,2422,Internal,Miscellaneous Errors
2423,2423,External,Crimeware
2424,2424,Partner,Miscellaneous Errors
2425,2425,External,Denial of Service
2426,2426,Internal,Privilege Misuse
2427,2427,External,Everything Else
2428,2428,Internal,Privilege Misuse
2429,2429,External,Everything Else
2430,2430,Internal,Privilege Misuse
2431,2431,Unknown,Everything Else
2432,2432,Internal,Miscellaneous Errors
2433,2433,Internal,Privilege Misuse
2434,2434,Internal,Privilege Misuse
2435,2435,Partner,Miscellaneous Errors
2436,2436,External,Crimeware
2437,2437,Partner,Everything Else
2438,2438,External,Lost and Stolen Assets
2439,2439,External,Cyber-Espionage
2440,2440,External,Lost and Stolen Assets
2441,2441,External,Web Applications
2442,2442,External,Everything Else
2443,2443,Internal,Miscellaneous Errors
2444,2444,External,Everything Else
2445,2445,External,Payment Card Skimmers
2446,2446,Internal,Miscellaneous Errors
2447,2447,Internal,Privilege Misuse
2448,2448,External,Lost and Stolen Assets
2449,2449,Internal,Miscellaneous Errors
2450,2450,Internal,Miscellaneous Errors
2451,2451,Internal,Miscellaneous Errors
2452,2452,External,Cyber-Espionage
2453,2453,External,Web Applications
2454,2454,External,Everything Else
2455,2455,Internal,Lost and Stolen Assets
2456,2456,Internal,Privilege Misuse
2457,2457,External,Point of Sale
2458,2458,External,Everything Else
2459,2459,Internal,Miscellaneous Errors
2460,2460,Internal,Privilege Misuse
2461,2461,External,Payment Card Skimmers
2462,2462,External,Web Applications
2463,2463,External,Lost and Stolen Assets
2464,2464,External,Everything Else
2465,2465,External,Web Applications
2466,2466,Internal,Miscellaneous Errors
2467,2467,Internal,Lost and Stolen Assets
2468,2468,External,Web Applications
2469,2469,Internal,Privilege Misuse
2470,2470,Partner,Privilege Misuse
2471,2471,External,Everything Else
2472,2472,External,Cyber-Espionage
2473,2473,External,Web Applications
2474,2474,Partner,Lost and Stolen Assets
2475,2475,Internal,Privilege Misuse
2476,2476,External,Cyber-Espionage
2477,2477,External,Everything Else
2478,2478,Internal,Miscellaneous Errors
2479,2479,Internal,Miscellaneous Errors
2480,2480,External,Crimeware
2481,2481,Partner,Miscellaneous Errors
2482,2482,External,Web Applications
2483,2483,External,Web Applications
2484,2484,External,Lost and Stolen Assets
2485,2485,Internal,Privilege Misuse
2486,2486,Unknown,Miscellaneous Errors
2487,2487,External,Everything Else
2488,2488,Internal,Privilege Misuse
2489,2489,Internal,Miscellaneous Errors
2490,2490,External,Lost and Stolen Assets
2491,2491,External,Web Applications
2492,2492,Internal,Privilege Misuse
2493,2493,Internal,Privilege Misuse
2494,2494,External,Lost and Stolen Assets
2495,2495,External Internal,Privilege Misuse
2496,2496,External,Everything Else
2497,2497,External,Web Applications
2498,2498,Internal,Miscellaneous Errors
2499,2499,External Partner,Privilege Misuse
2500,2500,External,Lost and Stolen Assets
2501,2501,Internal,Privilege Misuse
2502,2502,Internal,Privilege Misuse
2503,2503,External Partner,Cyber-Espionage
2504,2504,Internal,Privilege Misuse
2505,2505,Unknown,Lost and Stolen Assets
2506,2506,Internal,Miscellaneous Errors
2507,2507,External,Denial of Service
2508,2508,Internal,Lost and Stolen Assets
2509,2509,External,Everything Else
2510,2510,External,Lost and Stolen Assets
2511,2511,Internal,Miscellaneous Errors
2512,2512,Internal,Miscellaneous Errors
2513,2513,Internal,Miscellaneous Errors
2514,2514,Internal,Lost and Stolen Assets
2515,2515,Internal,Privilege Misuse
2516,2516,External,Web Applications
2517,2517,External,Crimeware
2518,2518,External,Lost and Stolen Assets
2519,2519,External,Payment Card Skimmers
2520,2520,External,Everything Else
2521,2521,Internal Unknown,Everything Else
2522,2522,External,Lost and Stolen Assets
2523,2523,External,Everything Else
2524,2524,External,Everything Else
2525,2525,External,Denial of Service
2526,2526,External,Crimeware
2527,2527,External,Denial of Service
2528,2528,Internal,Miscellaneous Errors
2529,2529,External,Payment Card Skimmers
2530,2530,External,Crimeware
2531,2531,Internal,Privilege Misuse
2532,2532,Internal,Miscellaneous Errors
2533,2533,External,Lost and Stolen Assets
2534,2534,Unknown,Lost and Stolen Assets
2535,2535,Internal,Miscellaneous Errors
2536,2536,External,Lost and Stolen Assets
2537,2537,External,Miscellaneous Errors
2538,2538,External,Lost and Stolen Assets
2539,2539,External,Lost and Stolen Assets
2540,2540,Internal,Lost and Stolen Assets
2541,2541,Partner,Privilege Misuse
2542,2542,Internal,Miscellaneous Errors
2543,2543,Internal,Privilege Misuse
2544,2544,External,Everything Else
2545,2545,External,Everything Else
2546,2546,External,Lost and Stolen Assets
2547,2547,Internal,Miscellaneous Errors
2548,2548,Internal,Privilege Misuse
2549,2549,Internal,Privilege Misuse
2550,2550,External,Privilege Misuse
2551,2551,External,Web Applications
2552,2552,External Internal,Privilege Misuse
2553,2553,Unknown,Everything Else
2554,2554,Internal,Miscellaneous Errors
2555,2555,Partner,Miscellaneous Errors
2556,2556,External,Everything Else
2557,2557,External,Point of Sale
2558,2558,External,Lost and Stolen Assets
2559,2559,External,Cyber-Espionage
2560,2560,Internal,Miscellaneous Errors
2561,2561,Internal,Miscellaneous Errors
2562,2562,External,Denial of Service
2563,2563,Internal,Miscellaneous Errors
2564,2564,Internal,Miscellaneous Errors
2565,2565,Internal,Privilege Misuse
2566,2566,Internal,Privilege Misuse
2567,2567,External,Point of Sale
2568,2568,Internal,Miscellaneous Errors
2569,2569,Internal,Privilege Misuse
2570,2570,Internal,Privilege Misuse
2571,2571,Internal,Privilege Misuse
2572,2572,External,Lost and Stolen Assets
2573,2573,Internal,Miscellaneous Errors
2574,2574,Internal,Privilege Misuse
2575,2575,External,Web Applications
2576,2576,Internal,Miscellaneous Errors
2577,2577,Internal,Privilege Misuse
2578,2578,Internal,Miscellaneous Errors
2579,2579,Internal,Privilege Misuse
2580,2580,External,Web Applications
2581,2581,External,Denial of Service
2582,2582,Internal,Miscellaneous Errors
2583,2583,External Internal,Privilege Misuse
2584,2584,Internal,Miscellaneous Errors
2585,2585,Internal,Miscellaneous Errors
2586,2586,External,Web Applications
2587,2587,Internal,Miscellaneous Errors
2588,2588,Unknown,Everything Else
2589,2589,Internal,Privilege Misuse
2590,2590,Internal,Miscellaneous Errors
2591,2591,External,Lost and Stolen Assets
2592,2592,Internal,Lost and Stolen Assets
2593,2593,Internal,Lost and Stolen Assets
2594,2594,Internal,Miscellaneous Errors
2595,2595,Partner,Miscellaneous Errors
2596,2596,Internal,Miscellaneous Errors
2597,2597,Internal,Miscellaneous Errors
2598,2598,External,Point of Sale
2599,2599,External,Lost and Stolen Assets
2600,2600,Internal,Privilege Misuse
2601,2601,External,Lost and Stolen Assets
2602,2602,External Internal,Privilege Misuse
2603,2603,External,Web Applications
2604,2604,External,Everything Else
2605,2605,Internal,Miscellaneous Errors
2606,2606,External,Web Applications
2607,2607,Internal,Miscellaneous Errors
2608,2608,Internal,Miscellaneous Errors
2609,2609,External,Lost and Stolen Assets
2610,2610,External,Privilege Misuse
2611,2611,External,Web Applications
2612,2612,External,Privilege Misuse
2613,2613,External,Web Applications
2614,2614,External,Lost and Stolen Assets
2615,2615,External,Payment Card Skimmers
2616,2616,External,Lost and Stolen Assets
2617,2617,Internal,Privilege Misuse
2618,2618,External,Lost and Stolen Assets
2619,2619,External,Web Applications
2620,2620,Internal,Miscellaneous Errors
2621,2621,External,Everything Else
2622,2622,External Internal,Privilege Misuse
2623,2623,External,Lost and Stolen Assets
2624,2624,External,Lost and Stolen Assets
2625,2625,Partner,Miscellaneous Errors
2626,2626,Internal,Miscellaneous Errors
2627,2627,External,Payment Card Skimmers
2628,2628,External,Web Applications
2629,2629,External,Web Applications
2630,2630,Internal,Miscellaneous Errors
2631,2631,External,Web Applications
2632,2632,External,Lost and Stolen Assets
2633,2633,Internal,Privilege Misuse
2634,2634,Internal,Miscellaneous Errors
2635,2635,Internal,Miscellaneous Errors
2636,2636,External,Crimeware
2637,2637,Internal,Privilege Misuse
2638,2638,Internal,Miscellaneous Errors
2639,2639,Internal,Miscellaneous Errors
2640,2640,Unknown,Everything Else
2641,2641,Internal,Miscellaneous Errors
2642,2642,Internal,Miscellaneous Errors
2643,2643,Internal,Miscellaneous Errors
2644,2644,External,Payment Card Skimmers
2645,2645,Internal,Privilege Misuse
2646,2646,Internal,Miscellaneous Errors
2647,2647,External,Lost and Stolen Assets
2648,2648,Internal,Privilege Misuse
2649,2649,External,Everything Else
2650,2650,Unknown,Everything Else
2651,2651,External,Everything Else
2652,2652,Partner,Lost and Stolen Assets
2653,2653,External,Cyber-Espionage
2654,2654,Unknown,Miscellaneous Errors
2655,2655,Internal,Privilege Misuse
2656,2656,Partner,Privilege Misuse
2657,2657,Partner,Lost and Stolen Assets
2658,2658,Internal,Privilege Misuse
2659,2659,Internal,Privilege Misuse
2660,2660,External,Denial of Service
2661,2661,Unknown,Everything Else
2662,2662,Internal,Privilege Misuse
2663,2663,External,Lost and Stolen Assets
2664,2664,External,Lost and Stolen Assets
2665,2665,External,Crimeware
2666,2666,External,Miscellaneous Errors
2667,2667,Internal,Miscellaneous Errors
2668,2668,External,Everything Else
2669,2669,Internal,Miscellaneous Errors
2670,2670,Partner,Miscellaneous Errors
2671,2671,External,Everything Else
2672,2672,External,Crimeware
2673,2673,Internal,Miscellaneous Errors
2674,2674,External,Lost and Stolen Assets
2675,2675,Internal,Privilege Misuse
2676,2676,External,Lost and Stolen Assets
2677,2677,External,Cyber-Espionage
2678,2678,Internal,Privilege Misuse
2679,2679,Internal,Privilege Misuse
2680,2680,Internal,Miscellaneous Errors
2681,2681,Internal,Miscellaneous Errors
2682,2682,Internal,Privilege Misuse
2683,2683,External,Cyber-Espionage
2684,2684,External,Everything Else
2685,2685,External,Everything Else
2686,2686,External,Everything Else
2687,2687,External,Lost and Stolen Assets
2688,2688,External,Everything Else
2689,2689,External,Everything Else
2690,2690,Internal,Miscellaneous Errors
2691,2691,External,Point of Sale
2692,2692,External,Lost and Stolen Assets
2693,2693,Internal,Miscellaneous Errors
2694,2694,Internal,Lost and Stolen Assets
2695,2695,Unknown,Everything Else
2696,2696,Internal,Everything Else
2697,2697,Unknown,Lost and Stolen Assets
2698,2698,Internal,Miscellaneous Errors
2699,2699,External,Lost and Stolen Assets
2700,2700,Internal,Privilege Misuse
2701,2701,Internal,Miscellaneous Errors
2702,2702,Internal,Miscellaneous Errors
2703,2703,External,Cyber-Espionage
2704,2704,External,Everything Else
2705,2705,External,Payment Card Skimmers
2706,2706,External,Lost and Stolen Assets
2707,2707,External,Lost and Stolen Assets
2708,2708,External,Web Applications
2709,2709,Internal,Privilege Misuse
2710,2710,External,Lost and Stolen Assets
2711,2711,External,Lost and Stolen Assets
2712,2712,Internal,Lost and Stolen Assets
2713,2713,External,Lost and Stolen Assets
2714,2714,Internal,Lost and Stolen Assets
2715,2715,External,Crimeware
2716,2716,External,Denial of Service
2717,2717,Internal,Miscellaneous Errors
2718,2718,Internal,Miscellaneous Errors
2719,2719,External,Everything Else
2720,2720,External,Everything Else
2721,2721,Internal,Privilege Misuse
2722,2722,Internal,Privilege Misuse
2723,2723,External,Crimeware
2724,2724,Internal,Miscellaneous Errors
2725,2725,Internal,Miscellaneous Errors
2726,2726,Internal,Miscellaneous Errors
2727,2727,External,Everything Else
2728,2728,External,Miscellaneous Errors
2729,2729,External,Crimeware
2730,2730,Internal,Privilege Misuse
2731,2731,Internal,Miscellaneous Errors
2732,2732,Internal,Miscellaneous Errors
2733,2733,Partner,Privilege Misuse
2734,2734,External,Everything Else
2735,2735,External,Everything Else
2736,2736,Internal,Miscellaneous Errors
2737,2737,External,Denial of Service
2738,2738,Internal,Privilege Misuse
2739,2739,Internal,Privilege Misuse
2740,2740,Internal,Privilege Misuse
2741,2741,External,Lost and Stolen Assets
2742,2742,Internal,Miscellaneous Errors
2743,2743,Unknown,Crimeware
2744,2744,Internal,Privilege Misuse
2745,2745,Internal,Miscellaneous Errors
2746,2746,External,Lost and Stolen Assets
2747,2747,Internal,Privilege Misuse
2748,2748,Internal,Miscellaneous Errors
2749,2749,External,Web Applications
2750,2750,External,Lost and Stolen Assets
2751,2751,External,Payment Card Skimmers
2752,2752,External,Web Applications
2753,2753,External,Web Applications
2754,2754,External,Crimeware
2755,2755,External,Lost and Stolen Assets
2756,2756,Internal,Miscellaneous Errors
2757,2757,Internal,Privilege Misuse
2758,2758,External,Web Applications
2759,2759,Internal,Privilege Misuse
2760,2760,External,Web Applications
2761,2761,Internal,Privilege Misuse
2762,2762,External,Everything Else
2763,2763,External,Cyber-Espionage
2764,2764,Internal,Privilege Misuse
2765,2765,External,Web Applications
2766,2766,Internal,Privilege Misuse
2767,2767,External,Everything Else
2768,2768,External,Everything Else
2769,2769,Internal,Miscellaneous Errors
2770,2770,Internal,Lost and Stolen Assets
2771,2771,External,Everything Else
2772,2772,Internal,Lost and Stolen Assets
2773,2773,External,Lost and Stolen Assets
2774,2774,Internal,Lost and Stolen Assets
2775,2775,External,Web Applications
2776,2776,External,Point of Sale
2777,2777,External,Cyber-Espionage
2778,2778,Internal,Miscellaneous Errors
2779,2779,Internal,Privilege Misuse
2780,2780,External,Crimeware
2781,2781,Internal,Everything Else
2782,2782,Unknown,Payment Card Skimmers
2783,2783,Internal,Privilege Misuse
2784,2784,External,Payment Card Skimmers
2785,2785,Internal,Privilege Misuse
2786,2786,Internal,Privilege Misuse
2787,2787,External,Everything Else
2788,2788,Internal,Privilege Misuse
2789,2789,Partner,Privilege Misuse
2790,2790,External,Everything Else
2791,2791,External,Lost and Stolen Assets
2792,2792,External,Lost and Stolen Assets
2793,2793,Internal,Miscellaneous Errors
2794,2794,Internal,Miscellaneous Errors
2795,2795,Internal,Privilege Misuse
2796,2796,Internal,Privilege Misuse
2797,2797,Internal,Miscellaneous Errors
2798,2798,External,Everything Else
2799,2799,External,Crimeware
2800,2800,External,Denial of Service
2801,2801,External,Everything Else
2802,2802,External,Web Applications
2803,2803,Internal,Privilege Misuse
2804,2804,Internal,Privilege Misuse
2805,2805,Internal,Lost and Stolen Assets
2806,2806,Internal,Privilege Misuse
2807,2807,Internal,Point of Sale
2808,2808,External,Miscellaneous Errors
2809,2809,Internal,Miscellaneous Errors
2810,2810,Unknown,Everything Else
2811,2811,External,Denial of Service
2812,2812,Internal Partner,Miscellaneous Errors
2813,2813,External,Web Applications
2814,2814,External,Everything Else
2815,2815,External,Point of Sale
2816,2816,Internal,Miscellaneous Errors
2817,2817,External,Payment Card Skimmers
2818,2818,External,Lost and Stolen Assets
2819,2819,External,Everything Else
2820,2820,External,Lost and Stolen Assets
2821,2821,Internal,Lost and Stolen Assets
2822,2822,Internal,Privilege Misuse
2823,2823,Internal,Privilege Misuse
2824,2824,External Internal,Privilege Misuse
2825,2825,External,Web Applications
2826,2826,Internal,Miscellaneous Errors
2827,2827,Internal,Privilege Misuse
2828,2828,Internal,Privilege Misuse
2829,2829,External,Everything Else
2830,2830,Internal,Lost and Stolen Assets
2831,2831,External,Lost and Stolen Assets
2832,2832,Internal,Privilege Misuse
2833,2833,Internal,Privilege Misuse
2834,2834,External,Lost and Stolen Assets
2835,2835,External,Everything Else
2836,2836,External,Web Applications
2837,2837,External,Lost and Stolen Assets
2838,2838,External,Lost and Stolen Assets
2839,2839,External Internal,Privilege Misuse
2840,2840,Partner,Privilege Misuse
2841,2841,Internal,Miscellaneous Errors
2842,2842,External,Everything Else
2843,2843,External,Lost and Stolen Assets
2844,2844,External,Everything Else
2845,2845,Internal,Miscellaneous Errors
2846,2846,External,Lost and Stolen Assets
2847,2847,External,Payment Card Skimmers
2848,2848,External,Denial of Service
2849,2849,External,Everything Else
2850,2850,External,Everything Else
2851,2851,Internal,Miscellaneous Errors
2852,2852,External,Lost and Stolen Assets
2853,2853,External,Cyber-Espionage
2854,2854,External,Everything Else
2855,2855,Partner,Privilege Misuse
2856,2856,External,Lost and Stolen Assets
